posx,posy,posz,turn,tick,
74.75093,1.2475019,66.9158,0,1,
74.75093,1.2476301,66.91581,1,1,
74.75093,1.2476301,66.91581,2,1,
74.75093,1.2476301,66.91581,3,1,
74.75093,1.2476301,66.91581,4,1,
74.75093,1.2476301,66.91581,5,1,
74.75093,1.2476301,66.91581,6,1,
74.79088,1.2475,67.13024,7,1,
74.79088,1.2475,67.13024,8,1,
74.79088,1.2475,67.13024,9,1,
74.79088,1.2475,67.13024,10,1,
74.79088,1.2475,67.13024,11,1,
74.79088,1.2475,67.13024,12,1,
74.79088,1.2475,67.13024,13,1,
74.79088,1.2475,67.13024,14,1,
74.79088,1.2475,67.13024,15,1,
74.79088,1.2475,67.13024,16,1,
74.79088,1.2475,67.13024,17,1,
74.79088,1.2475,67.13024,18,1,
74.79088,1.2475,67.13024,19,1,
74.79088,1.2475,67.13024,20,1,
74.79088,1.2475,67.13024,21,1,
74.79088,1.2475,67.13024,22,1,
74.79088,1.2475,67.13024,23,1,
74.79088,1.2475,67.13024,24,1,
74.79088,1.2475,67.13024,25,1,
74.79088,1.2475,67.13024,26,1,
74.79088,1.2475,67.13024,27,1,
74.79088,1.2475,67.13024,28,1,
74.79088,1.2475,67.13024,29,1,
74.79088,1.2475,67.13024,30,1,
74.79088,1.2475,67.13024,31,1,
74.79088,1.2475,67.13024,32,1,
74.79088,1.2475,67.13024,33,1,
74.79088,1.2475,67.13024,34,1,
74.79088,1.2475,67.13024,35,1,
74.78352,1.2475,67.11846,36,1,
74.77617,1.2475,67.10668,37,1,
74.768814,1.2475,67.0949,38,1,
74.76146,1.2475,67.08312,39,1,
74.754105,1.2475,67.07134,40,1,
74.74675,1.2475,67.05956,41,1,
74.739395,1.2475,67.04778,42,1,
74.73204,1.2475,67.036,43,1,
74.724686,1.2475,67.02422,44,1,
74.724686,1.2475,67.02422,45,1,
74.724686,1.2475,67.02422,46,1,
74.724686,1.2475,67.02422,47,1,
74.724686,1.2475,67.02422,48,1,
74.724686,1.2475,67.02422,49,1,
74.724686,1.2475,67.02422,50,1,
74.724686,1.2475,67.02422,51,1,
74.724686,1.2475,67.02422,52,1,
74.724686,1.2475,67.02422,53,1,
